"category","sub_category","role","relative_path","extension","width","height","size_bytes","recommended_use"
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_bisexualpride-0.png",".png","1280","850","69569","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_bisexualpride-5.png",".png","1280","850","82914","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_blackandwhite-0.png",".png","1280","850","83689","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_blackandwhite-5.png",".png","1280","850","84614","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_bronze-0.png",".png","1280","850","92747","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_bronze-5.png",".png","1280","850","91017","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_brown-0.png",".png","1280","850","79303","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_brown-5.png",".png","1280","850","78426","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient_lowpoly-0.png",".png","1280","850","102746","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient_lowpoly-5.png",".png","1280","850","98707","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient_rainbow-0.png",".png","1280","850","78875","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient_rainbow-5.png",".png","1280","850","74285","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient-0.png",".png","1280","850","92120","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_gradient-5.png",".png","1280","850","101256","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_polkadots_whiteonred-0.png",".png","1280","850","81340","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_polkadots_whiteonred-5.png",".png","1280","850","81738","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_starsky_black-0.png",".png","1280","850","94143","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_starsky_black-5.png",".png","1280","850","94160","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_starsky_red-0.png",".png","1280","850","93504","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_starsky_red-5.png",".png","1280","850","91449","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_striped_blueandwhite-0.png",".png","1280","850","103608","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_striped_blueandwhite-5.png",".png","1280","850","101955","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_striped_pinkandwhite-0.png",".png","1280","850","107656","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_striped_pinkandwhite-5.png",".png","1280","850","105159","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_transexualpride-0.png",".png","1280","850","102713","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-anonymioo_ribbon_transexualpride-5.png",".png","1280","850","100120","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_bat-0.png",".png","1280","850","6127","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_bat-5.png",".png","1280","850","6247","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_crescentmoon-0.png",".png","1280","850","6489","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_crescentmoon-5.png",".png","1280","850","6605","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_ghost-0.png",".png","1280","850","6323","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_ghost-5.png",".png","1280","850","6480","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_pumpkin-0.png",".png","1280","850","6696","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-bellmandi86_hairclip_pumpkin-5.png",".png","1280","850","6908","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_blacksilver_piercings-0.png",".png","1280","850","20590","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_blacksilver_piercings-5.png",".png","1280","850","20570","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_chain_silver-0-0.png",".png","1280","850","21654","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_chain_silver-5-0.png",".png","1280","850","21495","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_daisy_white-0-0.png",".png","1280","850","24557","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_daisy_white-5-0.png",".png","1280","850","24481","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_emerald_green-0-0.png",".png","1280","850","21985","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_emerald_green-5-0.png",".png","1280","850","22892","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_glitter_bead_silver-0-0.png",".png","1280","850","25149","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_glitter_bead_silver-5-0.png",".png","1280","850","27644","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_ribbon_red-0-0.png",".png","1280","850","24693","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_ribbon_red-5-0.png",".png","1280","850","26394","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_ruffles_red-0-0.png",".png","1280","850","24185","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_ruffles_red-5-0.png",".png","1280","850","25345","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_silk_white-0-0.png",".png","1280","850","23525","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_silk_white-5-0.png",".png","1280","850","24778","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_spiked_star-0-0.png",".png","1280","850","25379","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_spiked_star-5-0.png",".png","1280","850","26810","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_spiral_black-0-0.png",".png","1280","850","23686","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_spiral_black-5-0.png",".png","1280","850","24284","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_thread_ribbon-0-0.png",".png","1280","850","23406","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_choker_thread_ribbon-5-0.png",".png","1280","850","24606","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_earrings_pearls-0.png",".png","1280","850","19724","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_earrings_pearls-5.png",".png","1280","850","19652","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_front_bow_black-0.png",".png","1280","850","16903","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_front_bow_black-5.png",".png","1280","850","17970","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_black-0.png",".png","1280","850","48721","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_black-5.png",".png","1280","850","50927","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_dark_pink-0.png",".png","1280","850","62273","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_dark_pink-5.png",".png","1280","850","65349","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_gray-0.png",".png","1280","850","58175","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_gray-5.png",".png","1280","850","62238","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_orange-0.png",".png","1280","850","63426","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_orange-5.png",".png","1280","850","66076","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_pale_green-0.png",".png","1280","850","63666","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_pale_green-5.png",".png","1280","850","66510","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_pink-0.png",".png","1280","850","63083","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_pink-5.png",".png","1280","850","65789","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_purple-0.png",".png","1280","850","60640","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_purple-5.png",".png","1280","850","64499","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_red-0.png",".png","1280","850","56264","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_red-5.png",".png","1280","850","58153","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_royal_blue-0.png",".png","1280","850","61670","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_royal_blue-5.png",".png","1280","850","64094","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_sky_blue-0.png",".png","1280","850","79682","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_sky_blue-5.png",".png","1280","850","83008","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_white-0.png",".png","1280","850","81553","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_white-5.png",".png","1280","850","85637","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_yellow-0.png",".png","1280","850","64462","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-briaryoung_mini_ribbon_yellow-5.png",".png","1280","850","67174","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_anchor_necklace-0-0.png",".png","1280","850","10170","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_anchor_necklace-5-0.png",".png","1280","850","11099","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_animalcrossing_necklace-0-0.png",".png","1280","850","9427","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_animalcrossing_necklace-5-0.png",".png","1280","850","9655","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_cactus_necklace-0-0.png",".png","1280","850","10055","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_cactus_necklace-5-0.png",".png","1280","850","11662","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_goldchain_necklace-0-0.png",".png","1280","850","8312","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_goldchain_necklace-5-0.png",".png","1280","850","8513","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_snailshell_necklace-0-0.png",".png","1280","850","9075","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
"character_accessory_layers","a","Accessory and prop layers for sprite compositing","MAS/game/mod_assets/monika/a/acs-historyvariety_snailshell_necklace-5-0.png",".png","1280","850","9830","Useful for outfit/accessory selector and layered static avatar; not directly Live2D without rigging."
